Title;Rating;Image;Demography;Genres;Year;List
Buta Koushaku ni Tensei Shitakara, Kondo wa Kimi ni Suki to Iitai;7.00/10;https://otakuteca.com/images/books/cover/6052dd1ba7431.webp;Shounen;Aventura, Comedia, Fantasia, Romance, Vida Escolar, Recuentos de la vida;2017;Siguiendo
Chainsaw Man;8.91/10;https://otakuteca.com/images/books/cover/5cca10a79a95e.webp;Shounen;Acción, Horror, Sobrenatural, Demonios, Comedia, Fantasia, Romance;2018;Siguiendo
CHEAT KUSUSHI NO SLOW LIFE: ISEKAI NI TSUKUROU DRUGSTORE;9.67/10;https://otakuteca.com/images/books/cover/614f06776a39b.webp;Shounen;Aventura, Comedia, Fantasia, Reencarnación;2018;Siguiendo
Chikotan- Kowareru;9.09/10;https://otakuteca.com/images/books/cover/12934_TMOmanga035540.webp;Seinen;Comedia, Romance, Ecchi, Harem, Vida Escolar, Sobrenatural, Misterio;2015 - 2016;Siguiendo
ChinChin KemoKemo;0.00/10;https://otakuteca.com/images/books/cover/5ce32cd170a13.webp;Seinen;Acción, Comedia, Demonios, Ecchi, Fantasia, Romance;2019;Siguiendo
Chocolate Vampire;9.00/10;https://otakuteca.com/images/books/cover/5d1b53328b06e.webp;Shoujo;Vida Escolar, Romance, Vampiros, Harem, Comedia, Drama;2016;Siguiendo
Chuusotsu Worker kara Hajimeru Koukou Seikatsu Roudousha;8.00/10;https://otakuteca.com/images/books/cover/15313_TMOManga57056e0a477ab.webp;Seinen;Romance, Vida Escolar, Recuentos de la vida, Drama;2011;Siguiendo
Cinderella wa Sagasanai.;8.00/10;https://otakuteca.com/images/books/cover/5fe90eb445f1f.webp;Seinen;Comedia, Drama, Romance, Vida Escolar;2020;Siguiendo
Dachi no imouto;10.00/10;https://otakuteca.com/images/books/cover/5f3daf9f79648.webp;Josei;Comedia, Romance, Vida Escolar;2020;Siguiendo
Darwin's Game;9.29/10;https://otakuteca.com/images/books/cover/648002c8d5640.webp;Shounen;Acción, Ecchi, Misterio, Psicológico, Ciencia Ficción, Drama, Romance;2012;Siguiendo
Diana Es Una Extraña Sirena;10.00/10;https://otakuteca.com/images/books/cover/6560fb43b5c3c.webp;Shounen;Comedia, Romance;2022;Siguiendo
Dokuzakura;6.67/10;https://otakuteca.com/images/books/cover/5d520342c8e45.webp;Seinen;Ecchi, Misterio, Psicológico, Romance, Sobrenatural, Thriller, Harem;2019 - 2020;Siguiendo
Domestic na Kanojo;6.08/10;https://otakuteca.com/images/books/cover/5c6629d99f9e7.webp;Shounen;Drama, Romance, Vida Escolar, Ecchi, Harem;2014;Siguiendo
Doubt!;9.01/10;https://otakuteca.com/images/books/cover/9272_TMOmanga084430.webp;Shounen;Comedia, Recuentos de la vida, Ecchi, Romance, Harem, Vida Escolar;2012;Siguiendo
Doukyuusei ni Koi o Shita;2.00/10;https://otakuteca.com/images/books/cover/20363_TMOManga57f161d34d0d2.webp;Shoujo;Romance, Comedia, Vida Escolar;2016;Siguiendo
Dr. Stone;8.88/10;https://otakuteca.com/images/books/cover/5d924d4309b18.webp;Shounen;Acción, Aventura, Apocalíptico, Comedia, Supervivencia, Misterio, Ciencia Ficción;2017 - 2022;Siguiendo
Eiyuu Kyoushitsu - Reboot;8.00/10;https://otakuteca.com/images/books/cover/5dfea4fff29d4.webp;Shounen;Acción, Comedia, Fantasia, Vida Escolar, Ecchi, Harem, Romance;2016;Siguiendo
En no Shita no Chikara Mocher: Maou Toubatsu shitara Wakagaetta node, Gakuen de Kage kara Support shimasu;7.00/10;https://otakuteca.com/images/books/cover/621d022556b6c.webp;Seinen;Comedia, Fantasia, Magia, Romance, Vida Escolar;2022;Siguiendo
Futago, Futagokoro.;5.00/10;https://otakuteca.com/images/books/cover/5f71388652f7f.webp;Seinen;Drama, Romance, Vida Escolar;2018;Siguiendo
Fuufu Ijou, Koibito Miman.;8.65/10;https://otakuteca.com/images/books/cover/63ba3533878dd.webp;Seinen;Comedia, Drama, Ecchi, Romance, Vida Escolar, Recuentos de la vida;2018;Siguiendo
Garden Sphere;9.07/10;https://otakuteca.com/images/books/cover/5f6bde465b86f.webp;Shounen;Romance, Comedia, Fantasia, Aventura, Vida Escolar;2017;Siguiendo
Girigiri Out;5.00/10;https://otakuteca.com/images/books/cover/61df64c472071.webp;Shounen;Comedia, Ecchi, Romance, Vida Escolar, Harem;2012 - 2018;Siguiendo
Lo siento mucho Ojou Sama, pero a mí me gusta la sirvienta;7.50/10;https://otakuteca.com/images/books/cover/63a102143f18b.webp;Shounen;Comedia, Drama, Romance;2022;Siguiendo
