Title;Rating;Image;Demography;Genres;Year;List
Monochrome Lovers;0.00/10;https://otakuteca.com/images/books/cover/5b7ccd996f423.jpg;Seinen;Drama, Romance, Vida Escolar, Recuentos de la vida;2018;Pendiente
Moto Saikyou no Kenshi wa, Isekai Mahou ni Akogareru;7.00/10;https://otakuteca.com/images/books/cover/6040cd936e2e9.jpg;Shounen;Acción, Aventura, Comedia, Fantasia, Harem, Reencarnación, Romance;2018;Pendiente
Mushi to Medama to Teddy Bear;8.69/10;https://otakuteca.com/images/books/cover/5fd82a13a6286.jpg;Seinen;Comedia, Drama, Sobrenatural, Horror, Misterio, Romance, Vida Escolar;2006 - 2009;Pendiente
29 TO JK;7.25/10;https://otakuteca.com/images/books/cover/33531_TMOManga5a27ab0ec7ac3.jpg;Seinen;Comedia, Romance, Ecchi, Harem, Recuentos de la vida, Drama;2017 - 2020;Pendiente
Ore no Kanojo to Osananajimi ga Shuraba Sugiru + H;8.48/10;https://otakuteca.com/images/books/cover/25120_TMOManga58f9a9a457de7.jpg;Seinen;Ecchi, Comedia, Harem, Romance, Vida Escolar;2011;Pendiente
Orenchi no Maid-san;8.56/10;https://otakuteca.com/images/books/cover/5def1814c4c7e.jpg;Seinen;Comedia, Recuentos de la vida, Romance, Vida Escolar;2015;Pendiente
Otome Danshi ni Koisuru Otome;10.00/10;https://otakuteca.com/images/books/cover/5c158db42e9d7.jpg;Shoujo;Comedia, Género Bender, Romance;2017;Pendiente
Ouji-sama Nante Iranai;10.00/10;https://otakuteca.com/images/books/cover/5de5f53e1120b.jpg;Josei;Girls Love, Vida Escolar;2016;Pendiente
Pandora Hearts;9.15/10;https://otakuteca.com/images/books/cover/6350b7f7e2a01.jpg;Shounen;Comedia, Drama, Fantasia, Sobrenatural, Misterio, Romance, Gore;2006 - 2015;Pendiente
Romantica Clock;9.01/10;https://otakuteca.com/images/books/cover/8205_TMOmanga175759.jpg;Shoujo;Comedia, Drama, Recuentos de la vida, Romance, Vida Escolar;2012 - 2016;Pendiente
Sayuri-san no Imouto wa Tenshi;9.00/10;https://otakuteca.com/images/books/cover/5f0e4edfcec2e.jpg;Seinen;Girls Love, Comedia, Drama, Romance, Recuentos de la vida;2014;Pendiente
Seifuku Aventure;9.09/10;https://otakuteca.com/images/books/cover/9247_TMOmanga085436.jpg;Seinen;Comedia, Romance, Vida Escolar;2013;Pendiente
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai;10.00/10;https://otakuteca.com/images/books/cover/61cb225cdc725.jpg;Seinen;Comedia, Drama, Romance, Recuentos de la vida, Sobrenatural;2015 - 2018;Pendiente
Senryu Shoujo;9.60/10;https://otakuteca.com/images/books/cover/5d19bd13844cc.jpg;Shounen;Comedia, Romance, Realidad, Drama, Harem, Vida Escolar;2016 - 2020;Pendiente
Sewayaki Kitsune no Senko-san;9.00/10;https://otakuteca.com/images/books/cover/6212ad7b3b3c5.jpg;Seinen;Comedia, Drama, Fantasia, Romance, Recuentos de la vida, Sobrenatural;2017;Pendiente
Shinizokonai Agape;0.00/10;https://otakuteca.com/images/books/cover/5b4bcc51891db.jpg;Shoujo;Drama, Género Bender, Romance;2017;Pendiente
Santa Cecilia y el Padre Lawrence;9.67/10;https://otakuteca.com/images/books/cover/639bb2312c7f4.jpg;Shounen;Comedia, Fantasia, Romance, Recuentos de la vida;2017;Pendiente
Shishunki Bitter Change;9.50/10;https://otakuteca.com/images/books/cover/5b914fff84770.jpg;Shoujo;Comedia, Drama, Recuentos de la vida, Psicológico, Vida Escolar, Género Bender, Romance;2012;Pendiente
Shurabara!;8.63/10;https://otakuteca.com/images/books/cover/8710_TMOmanga083731.jpg;Seinen;Comedia, Ecchi, Romance, Harem, Vida Escolar;2012;Pendiente
Soredemo Sekai wa Utsukushii;9.00/10;https://otakuteca.com/images/books/cover/5d4294a656a36.jpg;Shoujo;Aventura, Comedia, Drama, Fantasia, Romance;2012;Pendiente
Taiyou no Ie;9.00/10;https://otakuteca.com/images/books/cover/634cddd89d779.jpg;Shoujo;Comedia, Drama, Recuentos de la vida, Romance, Vida Escolar;2010;Pendiente
The Vanisher King and his 12 Starlight Maidens;9.13/10;https://otakuteca.com/images/books/cover/5c8bf23f0d356.jpg;Shounen;Acción, Drama, Comedia, Harem, Ecchi, Romance, Sobrenatural;2015 - 2018;Pendiente
